---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: large-sample1.txt
---------------------------------------------------------------------------------------------
'total number of words'= 4202791
'total number of distinct words'= 204786
'popular_threshold_word': 10240
'common_threshold_l_word': 97273
'common_threshold_u_word': 107513
'rare_threshold_word': 194546
---------------------------------------------------------------------------------------------

Popular Words
+-----+---------------+---------+
| Rank|           Word|Frequency|
|  710|          stock|      584|
|  711|         circle|      581|
|  712|           ball|      581|
|  713|           rock|      581|
|  714|           look|      580|
|  715|        himself|      580|
|  716|       employed|      579|
|  717|           arms|      579|
|  718|       somewhat|      578|
|  719|         beyond|      574|
|  720|         points|      573|
|  721|       covering|      573|
|  722|           care|      573|
|  723|           pain|      571|
|  724|          child|      569|
|  725|            fit|      569|
|  726|            ear|      568|
|  727|           eccl|      568|
|  728|            dog|      567|
|  729|           fore|      566|
|  730|            box|      565|
|  731|          along|      565|
|  732|          throw|      563|
|  733|            dry|      563|
|  734|        passage|      562|
|  735|         nearly|      560|
|  736|           gram|      560|
|  737|             da|      559|
|  738|           edge|      559|
|  739|          times|      559|
|  740|         reason|      558|
|  741|             ap|      557|
|  742|       building|      557|
|  743|          board|      556|
|  744|           acts|      556|
|  745|          voice|      556|
|  746|            tal|      556|
|  747|             ga|      555|
|  748|            bed|      555|
|  749|        divided|      554|
|  750|         fishes|      552|
|  751|          teeth|      552|
|  752|          table|      552|
|  753|           wine|      551|
|  754|        colored|      551|
|  755|          field|      551|
|  756|        current|      551|
|  757|           bill|      551|
|  758|          false|      550|
|  759|            tin|      549|
|  760|         spring|      549|
|  761|         female|      548|
|  762|      uncertain|      548|
|  763|            sin|      548|
|  764|           rope|      547|
|  765|             ir|      546|
|  766|          years|      546|
|  767|          title|      545|
|  768|           whom|      544|
|  769|          thick|      543|
|  770|             kr|      543|
|  771|             fl|      542|
|  772|       opposite|      542|
|  773|             gy|      541|
|  774|         colors|      540|
|  775|       followed|      540|
|  776|      influence|      539|
|  777|             ch|      537|
|  778|        related|      536|
|  779|          never|      536|
|  780|          solid|      536|
|  781|           boat|      535|
|  782|            cal|      535|
|  783|         narrow|      534|
|  784|           cold|      532|
|  785|            fig|      532|
|  786|          honor|      531|
|  787|        perhaps|      529|
|  788|             lu|      529|
|  789|            get|      529|
|  790|     principles|      528|
|  791|          drawn|      528|
|  792|      compounds|      528|
|  793|          steel|      528|
|  794|           hath|      527|
|  795|           math|      526|
|  796|        mineral|      526|
|  797|          sight|      526|
|  798|           sing|      525|
|  799|         though|      524|
|  800|             pe|      524|
|  801|           live|      524|
|  802|         cowper|      524|
|  803|        forward|      524|
|  804|         branch|      523|
|  805|           mean|      522|
|  806|          slang|      522|
|  807|            bil|      521|
|  808|         estate|      521|
|  809|         around|      520|
|  810|         speech|      520|
|  811|          grain|      520|
|  812|      connected|      520|
|  813|             em|      518|
|  814|           city|      518|
|  815|          angle|      517|
|  816|           beau|      516|
|  817|           sion|      515|
|  818|          scale|      515|
|  819|        objects|      515|
|  820|           race|      514|
|  821|           soul|      514|
|  822|           ring|      513|
|  823|           pipe|      513|
|  824|           even|      512|
|  825|         pieces|      512|
|  826|          india|      512|
|  827|            met|      512|
|  828|    distinction|      511|
|  829|           rule|      511|
|  830|           laws|      511|
|  831|            ger|      510|
|  832|        cutting|      509|
|  833|        tending|      509|
|  834|         strike|      509|
|  835|            net|      508|
|  836|         direct|      507|
|  837|         timber|      504|
|  838|           coal|      504|
|  839|         period|      503|
|  840|         bright|      503|
|  841|            skr|      503|
|  842|        physics|      502|
|  843|           rate|      501|
|  844|        insects|      500|
|  845|           know|      500|
|  846|           once|      500|
|  847|          fluid|      499|
|  848|      religious|      498|
|  849|         center|      497|
|  850|       interest|      497|
|  851|          sugar|      497|
|  852|             ob|      497|
|  853|         giving|      497|
|  854|        growing|      497|
|  855|            gun|      496|
|  856|           does|      496|
|  857|          roman|      495|
|  858|           star|      495|
|  859|           stem|      494|
|  860|         taking|      494|
|  861|         german|      493|
|  862|       distinct|      493|
|  863|      principal|      493|
|  864|     expression|      492|
|  865|            say|      492|
|  866|         square|      492|
|  867|           seed|      491|
|  868|            ber|      490|
|  869|           blow|      490|
|  870|          press|      490|
|  871|           army|      490|
|  872|           axis|      489|
|  873|            lie|      489|
|  874|           male|      489|
|  875|       doctrine|      488|
|  876|            ize|      488|
|  877|           neck|      488|
|  878|    designating|      488|
|  879|          organ|      487|
|  880|         organs|      487|
|  881|       regarded|      486|
|  882|           sand|      486|
|  883|          moral|      486|
|  884|         sudden|      486|
|  885|        holland|      485|
|  886|        conduct|      484|
|  887|        letters|      483|
|  888|         astron|      482|
|  889|       medicine|      482|
|  890|        special|      482|
|  891|        passing|      480|
|  892|           next|      480|
|  893|       relation|      479|
|  894|          carry|      479|
|  895|             ye|      479|
|  896|       properly|      478|
|  897|        opinion|      478|
|  898|           rose|      476|
|  899|          flesh|      476|
|  900|           sort|      476|
|  901|         simple|      475|
|  902|         tongue|      475|
|  903|       judgment|      475|
|  904|          broad|      472|
|  905|       pressure|      472|
|  906|         render|      472|
|  907|        respect|      471|
|  908|           sail|      471|
|  909|         compar|      469|
|  910|            cap|      468|
|  911|           days|      467|
|  912|             ab|      467|
|  913|             ge|      467|
|  914|            bad|      467|
|  915|            ted|      466|
|  916|            log|      466|
|  917|         smooth|      465|
|  918|          prior|      465|
|  919|          river|      465|
|  920|        drawing|      464|
|  921|           town|      464|
|  922|          labor|      464|
|  923|          rough|      463|
|  924|            sis|      462|
|  925|           geol|      461|
|  926|           main|      461|
|  927|            six|      460|
|  928|     blackstone|      460|
|  929|        vessels|      460|
|  930|           mach|      460|
|  931|         superl|      459|
|  932|           best|      459|
|  933|          curve|      458|
|  934|         region|      458|
|  935|           fair|      458|
|  936|           grow|      458|
|  937|           tone|      457|
|  938|          frame|      457|
|  939|          music|      457|
|  940|          loose|      456|
|  941|            pan|      456|
|  942|     possession|      455|
|  943|           fear|      455|
|  944|          crown|      455|
|  945|          hands|      455|
|  946|             et|      455|
|  947|           bark|      455|
|  948|       ordinary|      454|
|  949|      qualities|      454|
|  950|            sum|      453|
|  951|           tube|      452|
