---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-d.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2902023
'total number of distinct words'= 59165
'popular_threshold_word': 2959
'common_threshold_l_word': 28103
'common_threshold_u_word': 31062
'rare_threshold_word': 56206
---------------------------------------------------------------------------------------------

Popular Words
+----+---------------+---------+
|Rank|           Word|Frequency|
| 861|          quick|      316|
| 862|        society|      316|
| 863|           soft|      316|
| 864|          cases|      315|
| 865|       suddenly|      315|
| 866|           stop|      315|
| 867|     experience|      314|
| 868|           rule|      313|
| 869|         golden|      313|
| 870|           ford|      313|
| 871|           papa|      312|
| 872|          speed|      311|
| 873|           lead|      311|
| 874|           sick|      311|
| 875|      necessity|      310|
| 876|         stands|      310|
| 877|           wait|      310|
| 878|     especially|      309|
| 879|      agreement|      309|
| 880|          begin|      309|
| 881|            top|      309|
| 882|     principles|      309|
| 883|           foul|      309|
| 884|          saint|      308|
| 885|          serve|      308|
| 886|            iii|      308|
| 887|           earl|      308|
| 888|             dr|      308|
| 889|           seat|      308|
| 890|          enemy|      307|
| 891|           pale|      307|
| 892|          nurse|      307|
| 893|          dream|      306|
| 894|     individual|      306|
| 895|         broken|      306|
| 896|      education|      306|
| 897|       consider|      305|
| 898|             ho|      305|
| 899|         secret|      304|
| 900|         colour|      303|
| 901|            hat|      303|
| 902|       language|      302|
| 903|          walls|      302|
| 904|           mary|      302|
| 905|        defarge|      302|
| 906|          front|      302|
| 907|          tried|      300|
| 908|       probably|      300|
| 909|        persons|      300|
| 910|           plan|      299|
| 911|      important|      299|
| 912|          agree|      299|
| 913|        affairs|      299|
| 914|           hang|      298|
| 915|          fresh|      298|
| 916|      following|      297|
| 917|        comfort|      297|
| 918|        receive|      296|
| 919|       thinking|      296|
| 920|          merry|      295|
| 921|           wood|      295|
| 922|        macbeth|      295|
| 923|           ways|      295|
| 924|          glass|      294|
| 925|           wear|      293|
| 926|      executive|      292|
| 927|         policy|      292|
| 928|        claudio|      292|
| 929|          meant|      291|
| 930|         dinner|      291|
| 931|       argument|      291|
| 932|           grey|      290|
| 933|            ago|      290|
| 934|        meaning|      290|
| 935|           alas|      290|
| 936|        ancient|      290|
| 937|           drew|      290|
| 938|       judgment|      290|
| 939|         oxford|      290|
| 940|      advantage|      290|
| 941|        sitting|      289|
| 942|          carry|      289|
| 943|       occasion|      289|
| 944|         regard|      289|
| 945|        antonio|      289|
| 946|         higher|      288|
| 947|          guard|      287|
| 948|           hate|      287|
| 949|         famous|      287|
| 950|         favour|      287|
| 951|           fish|      286|
| 952|      beginning|      286|
| 953|         forget|      286|
| 954|        content|      286|
| 955|            lot|      286|
| 956|         battle|      285|
| 957|           moon|      285|
| 958|        appears|      284|
| 959|           moor|      284|
| 960|          smile|      284|
| 961|           pure|      284|
| 962|          takes|      284|
| 963|         opened|      283|
| 964|         showed|      283|
| 965|      ourselves|      283|
| 966|      according|      283|
| 967|          fault|      282|
| 968|        running|      282|
| 969|         nearly|      282|
| 970|          broke|      282|
| 971|         remain|      282|
| 972|      wonderful|      281|
| 973|        instant|      281|
| 974|         corner|      281|
| 975|           deck|      281|
| 976|         giving|      281|
| 977|      presently|      280|
| 978|        painted|      279|
| 979|         shadow|      279|
| 980|          mercy|      279|
| 981|        curious|      279|
| 982|     impossible|      279|
| 983|     parliament|      279|
| 984|       presence|      278|
| 985|        license|      278|
| 986|          offer|      278|
| 987|         system|      278|
| 988|           hell|      278|
| 989|          stone|      277|
| 990|        perfect|      277|
| 991|           cast|      277|
| 992|          loves|      277|
| 993|      excellent|      276|
| 994|      happiness|      276|
| 995|         period|      276|
| 996|        shallow|      276|
| 997|         spring|      276|
| 998|         slowly|      276|
| 999|         wisdom|      276|
|1000|            bit|      276|
|1001|            car|      276|
|1002|        villain|      275|
|1003|         whales|      275|
|1004|       florence|      274|
|1005|         palace|      274|
|1006|           wide|      274|
|1007|         praise|      273|
|1008|          clock|      273|
|1009|           maid|      272|
|1010|           step|      272|
|1011|         seeing|      272|
|1012|        getting|      272|
|1013|          judge|      272|
|1014|            sin|      272|
|1015|         strike|      272|
|1016|             ne|      270|
|1017|         placed|      269|
|1018|           sing|      269|
|1019|       creature|      269|
|1020|       property|      269|
|1021|         horses|      268|
|1022|         behold|      268|
|1023|            due|      268|
|1024|         length|      268|
|1025|          faces|      268|
|1026|         health|      268|
|1027|       distance|      267|
|1028|          trade|      267|
|1029|        passing|      267|
|1030|          fancy|      266|
|1031|       rosalind|      266|
|1032|           copy|      266|
|1033|          roman|      265|
|1034|         summer|      264|
|1035|          class|      264|
|1036|         walked|      264|
|1037|      questions|      264|
|1038|      copyright|      264|
|1039|     buckingham|      264|
|1040|        outside|      264|
|1041|           grew|      264|
|1042|      attention|      264|
|1043|       happened|      263|
|1044|          lower|      263|
|1045|           pain|      263|
|1046|         lucius|      263|
|1047|        courage|      263|
|1048|     considered|      262|
|1049|       patience|      262|
|1050|         bottom|      262|
|1051|           nine|      262|
|1052|        objects|      262|
|1053|          laugh|      261|
|1054|          stubb|      261|
|1055|        promise|      261|
|1056|          equal|      260|
|1057|     confidence|      260|
|1058|          flesh|      260|
|1059|        drawing|      259|
|1060|             ve|      259|
|1061|           deal|      259|
|1062|        suffolk|      259|
|1063|     difference|      259|
|1064|         worked|      258|
|1065|        stopped|      258|
|1066|      interests|      258|
|1067|      dangerous|      258|
|1068|          eight|      257|
|1069|          pride|      257|
|1070|     afterwards|      257|
|1071|          piece|      257|
|1072|         middle|      256|
|1073|          greek|      256|
|1074|       prisoner|      256|
|1075|         easily|      255|
|1076|           nose|      255|
|1077|          worst|      255|
|1078|          brave|      255|
|1079|          trees|      255|
|1080|          teach|      255|
