---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-f.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2915891
'total number of distinct words'= 46748
'popular_threshold_word': 2338
'common_threshold_l_word': 22205
'common_threshold_u_word': 24543
'rare_threshold_word': 44410
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 660|     donations|      424|
| 661|      covenant|      423|
| 662|        couldn|      422|
| 663|         brown|      421|
| 664|      literary|      420|
| 665|      question|      418|
| 666|        filled|      417|
| 667|  congregation|      417|
| 668|          fast|      417|
| 669|          wall|      416|
| 670|        longer|      413|
| 671|     copyright|      413|
| 672|         jacob|      413|
| 673|         onely|      413|
| 674|       destroy|      412|
| 675|          wait|      412|
| 676|           bad|      412|
| 677|         month|      411|
| 678|       princes|      411|
| 679|         burnt|      411|
| 680|        wouldn|      411|
| 681|       faustus|      411|
| 682|       letters|      410|
| 683|    siddhartha|      409|
| 684|       entered|      408|
| 685|       purpose|      407|
| 686|       enemies|      406|
| 687|          tree|      405|
| 688|          rose|      405|
| 689|         seems|      405|
| 690|         south|      405|
| 691|     beautiful|      404|
| 692|        broken|      404|
| 693|      appeared|      402|
| 694|       abraham|      401|
| 695|        honour|      401|
| 696|         aaron|      400|
| 697|     delivered|      400|
| 698|     beginning|      400|
| 699|        window|      399|
| 700|         party|      398|
| 701|       greater|      398|
| 702|      thinking|      396|
| 703|        itself|      396|
| 704|       laughed|      395|
| 705|         stone|      394|
| 706|       private|      394|
| 707|         enter|      391|
| 708|          past|      391|
| 709|       england|      390|
| 710|         altar|      389|
| 711|           arm|      389|
| 712|          gate|      386|
| 713|        length|      386|
| 714|         offer|      385|
| 715|       english|      384|
| 716|        school|      383|
| 717|        island|      383|
| 718|         paper|      383|
| 719|         spent|      382|
| 720|        twelve|      380|
| 721|         loved|      379|
| 722|         sound|      379|
| 723|         fifty|      379|
| 724|          legs|      379|
| 725|         books|      378|
| 726|         makes|      378|
| 727|          lips|      377|
| 728|        unless|      377|
| 729|          wind|      377|
| 730|      possible|      376|
| 731|         hours|      375|
| 732|         royal|      375|
| 733|        surely|      374|
| 734|          hall|      374|
| 735|         plain|      374|
| 736|          fred|      374|
| 737|         faith|      372|
| 738|          wine|      372|
| 739|       dorothy|      372|
| 740|         eight|      371|
| 741|          meat|      371|
| 742|        houses|      370|
| 743|      thoughts|      370|
| 744|       archive|      367|
| 745|        pulled|      367|
| 746|       deliver|      367|
| 747|         enemy|      366|
| 748|         carry|      366|
| 749|       offered|      365|
| 750|      governor|      364|
| 751|           low|      364|
| 752|       wherein|      364|
| 753|      occasion|      363|
| 754|        change|      363|
| 755|           sit|      362|
| 756|       scrooge|      362|
| 757|         wendy|      362|
| 758|           oil|      361|
| 759|          idea|      360|
| 760|           top|      360|
| 761|       further|      359|
| 762|         comes|      359|
| 763|           ill|      358|
| 764|        waters|      358|
| 765|       islands|      357|
| 766|          nice|      357|
| 767|        fellow|      357|
| 768|          seek|      354|
| 769|         names|      353|
| 770|        notice|      353|
| 771|    whatsoever|      352|
| 772|       suppose|      352|
| 773|          huck|      352|
